item_id,timestamp,target
60.125_5.125,17-06-1983,29.97
60.125_5.125,18-06-1983,30.21
60.125_5.125,19-06-1983,30.14
60.125_5.125,20-06-1983,29.94
60.125_5.125,21-06-1983,29.1
60.125_5.125,22-06-1983,29.16
60.125_5.125,23-06-1983,29.15
60.125_5.125,24-06-1983,29.23
60.125_5.125,25-06-1983,29.74
60.125_5.125,26-06-1983,29.7
60.125_5.125,27-06-1983,29.67
60.125_5.125,28-06-1983,29.48
60.125_5.125,29-06-1983,29.66
60.125_5.125,30-06-1983,29.76
60.125_5.125,01-07-1983,29.57
60.125_5.125,02-07-1983,29.4
60.125_5.125,03-07-1983,29.8
60.125_5.125,04-07-1983,29.92
60.125_5.125,05-07-1983,29.91
60.125_5.125,06-07-1983,29.74
60.125_5.125,07-07-1983,29.46
60.125_5.125,08-07-1983,29.52
60.125_5.125,09-07-1983,29.08
60.125_5.125,10-07-1983,28.93
60.125_5.125,11-07-1983,29.24
60.125_5.125,12-07-1983,29.53
60.125_5.125,13-07-1983,29.53
60.125_5.125,14-07-1983,29.16
60.125_5.125,15-07-1983,29.19
60.125_5.125,16-07-1983,29.53
60.125_5.125,17-07-1983,28.86
60.125_5.125,18-07-1983,28.43
60.125_5.125,19-07-1983,28.36
60.125_5.125,20-07-1983,28.24
60.125_5.125,21-07-1983,28.06
60.125_5.125,22-07-1983,28.02
60.125_5.125,23-07-1983,28.72
60.125_5.125,24-07-1983,28.85
60.125_5.125,25-07-1983,28.74
60.125_5.125,26-07-1983,28.71
60.125_5.125,27-07-1983,28.78
60.125_5.125,28-07-1983,28.73
60.125_5.125,29-07-1983,28.65
60.125_5.125,30-07-1983,28.33
60.125_5.125,31-07-1983,28.12
60.125_5.125,01-08-1983,28.08
60.125_5.125,02-08-1983,28.01
60.125_5.125,03-08-1983,27.49
60.125_5.125,04-08-1983,27.52
60.125_5.125,05-08-1983,27.97
60.125_5.125,06-08-1983,28.15
60.125_5.125,07-08-1983,28.14
60.125_5.125,08-08-1983,27.26
60.125_5.125,09-08-1983,27.29
60.125_5.125,10-08-1983,27.23
60.125_5.125,11-08-1983,27.49
60.125_5.125,12-08-1983,27.74
60.125_5.125,13-08-1983,27.77
60.125_5.125,14-08-1983,27.65
60.125_5.125,15-08-1983,27.56
60.125_5.125,16-08-1983,27.44
60.125_5.125,17-08-1983,27.65
60.125_5.125,18-08-1983,27.69
60.125_5.125,19-08-1983,27.74
60.125_5.125,20-08-1983,28.09
60.125_5.125,21-08-1983,28.14
60.125_5.125,22-08-1983,28.24
60.125_5.125,23-08-1983,28.43
60.125_5.125,24-08-1983,28.38
60.125_5.125,25-08-1983,28.18
60.125_5.125,26-08-1983,28.1
60.125_5.125,27-08-1983,28.05
60.125_5.125,28-08-1983,28.01
60.125_5.125,29-08-1983,27.91
60.125_5.125,30-08-1983,27.61
60.125_5.125,31-08-1983,27.5
60.125_5.125,01-09-1983,27.61
60.125_5.125,02-09-1983,27.65
60.125_5.125,03-09-1983,27.18
60.125_5.125,04-09-1983,27.17
60.125_5.125,05-09-1983,27.11
